gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SAE-1 TPM,SAE-2 TPM,SAE-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SAE-1 Normalised Read Counts,SAE-2 Normalised Read Counts,SAE-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
ABT1,6.58,6.7,7.43,7.19,7.52,7.24,268.5222264,274.2179201,300.4847614,309.5523302,327.1260563,313.6525728,1.127015035,Up,1
PPP1R18,79.31,77.09,72.83,83.92,84.31,84.84,2947.664742,2919.999696,2882.281461,3343.349423,3391.067877,3352.161872,1.152758509,Up,1.04608E-08
DAAM2,71.7,72.21,68.76,54.79,51.36,49.71,5695.711075,5454.409688,5462.101287,4173.428737,4141.16584,4035.00966,1.345161462,Down,0
PRIM2,19.25,19.7,18.81,13.66,13.32,13.44,601.8951038,590.5512205,579.223915,452.3517682,414.6374854,447.6083591,1.347682205,Down,0.004105377
MLIP,0.89,2.04,0.84,0.25,0.16,0.08,14.18607989,16.84615209,9.88436715,2.763860091,2.083605454,1.089071433,6.862707678,Down,0.999994905
HMGCLL1,0.24,0,0.16,0,0,0,7.093039944,0,3.95374686,0,0,0,369.2262268,Down,0.999999997
FGD2,0,0,0,0.03,0,0,0,0,0,0.921286697,0,0,31.70955656,Up,1
SCUBE3,11.11,11.3,12.06,42.05,41.78,44.44,1179.471214,1203.563977,1269.152742,4693.955721,4706.864721,4994.481593,3.941531502,Up,0
ANO7,0.15,0.26,0.03,0.3,0.25,0.2,4.053165682,7.487178707,1.97687343,4.606433485,7.292619089,5.445357166,1.282507595,Up,1
TTBK1,0,0,0,0,0.02,0,0,0,0,0,2.083605454,0,70.45351514,Up,1
RPL7L1,83.34,88.53,84.46,99.57,97.89,95.98,3973.257521,4068.654576,3969.976991,4687.84759,4673.06864,4792.317263,1.178268301,Up,0
NFKBIE,2.46,2.56,2.63,12.05,13.23,10.87,53.70444529,60.83332699,51.39870918,228.4791008,228.1547972,227.6159296,4.123000148,Up,0
CYP39A1,0.79,1.13,1.32,0.24,0.27,0.24,23.30570267,33.69230418,38.54903189,7.370293575,8.334421817,7.623500033,4.091795413,Down,5.62421E-09
TPBG,56.81,54.48,57.88,53.87,51.86,51.11,2552.481088,2496.974099,2577.842953,2510.506249,2496.159334,2450.410725,1.022826794,Down,1
IRAK1BP1,2.91,2.57,1.99,1.29,1.19,1.22,206.7114498,197.4743384,155.1845643,97.65638987,97.92945634,104.5508576,1.863632259,Down,1.67084E-09
PHIP,10.62,11.18,10.01,7.31,7.17,7.28,1588.840947,1682.743414,1496.493187,1157.136091,1150.150211,1160.950148,1.374781211,Down,0
PRSS35,30.7,28.44,29.37,18.29,16.43,17.46,1020.38446,948.9999011,968.6679807,643.0581144,583.4095272,617.5035027,1.593319154,Down,0
MMS22L,4.42,4.59,5.7,3.83,4.14,5.36,310.0671747,285.4486882,292.5772676,272.7008623,244.8236409,266.8225011,1.13226564,Down,1
FAXC,1.53,2.09,2.86,0.72,1,1.74,24.31899409,30.88461217,33.60684831,16.58316054,16.66884363,21.78142867,1.613420195,Down,1
PNRC1,96.99,88.15,90.1,91.14,94.37,84.7,1900.934705,1787.563916,1795.989511,2006.562426,1914.833412,1843.797936,1.051181459,Up,0.792306322
PM20D2,1.97,2.22,1.94,1.79,1.2,1.41,131.7278847,148.8076768,128.496773,126.2162775,85.42782362,100.1945719,1.311649325,Down,0.132623037
RARS2,66.78,66.16,63.44,55.37,61.45,58.02,1592.894113,1545.166506,1461.897902,1390.221626,1530.408206,1457.177578,1.050744486,Down,0.871463056
TBC1D32,6.64,5.53,6.75,8.91,6.72,7.55,289.8013463,285.4486882,332.1147362,362.0656719,333.3768727,377.9077873,1.182925411,Up,0.062997787
CLVS2,0,0,0.02,0,0,0,0,0,2.965310145,0,0,0,99.8436715,Down,1
RNF217,18.31,15.49,16.65,19.18,15.06,17.61,1156.165511,1062.243479,1105.072247,1157.136091,1126.188748,1146.792219,1.03208529,Up,1
RSPO3,33.68,35.92,36.64,43.87,42.85,45.93,1142.992722,1258.78192,1275.083362,1609.48786,1661.67535,1684.793507,1.347875353,Up,0
ARHGAP18,33.37,32.5,33.76,39.82,40.49,40.02,2109.672738,2061.781836,2117.231444,2652.3844,2722.230526,2683.472012,1.281361237,Up,0
ABRACL,37.14,33.19,36.3,42.11,44.71,41.87,355.6652886,320.0768897,345.9528503,435.7686076,468.8112272,433.4504304,1.309608973,Up,0.998776673
TAAR1,0,0,0,0.07,0,0,0,0,0,0.921286697,0,0,31.70955656,Up,1
SLC18B1,10.02,10.49,10.96,12.61,13.51,12.24,322.2266717,338.7948365,349.9065971,429.3196008,464.6440163,419.2925018,1.299050981,Up,0.999791171
MTFR2,1.28,0.64,0.61,1.37,0.94,0.67,18.23924557,13.10256274,8.895930435,17.50444724,19.79425181,16.3360715,1.332698886,Up,1
SLC2A12,8.53,7.62,8.59,2.2,2.41,2.47,540.0843272,483.8589239,539.6864464,146.4845848,162.5212254,165.5388579,3.294865493,Down,0
SHPRH,6.23,5.43,5.47,4.68,5.15,4.59,569.4697783,572.7691711,543.6401933,503.0225365,507.3579281,503.1510022,1.113868964,Down,1
AIG1,46.71,49.4,49.44,29.66,33.72,27.08,886.629993,921.8588783,919.246145,628.3175273,693.8406162,564.1390024,1.446072078,Down,0
DYNLT1,129.22,123.93,130.77,163.31,162.31,163.14,1033.557249,1000.474255,1044.777608,1430.75824,1429.353342,1424.505435,1.391643688,Up,0
TIAM2,12.9,13.75,11.3,13.61,13.95,14.5,513.0801108,533.6393034,463.4186695,561.8098406,515.713186,549.9810738,1.077717188,Up,0.818757811
