gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SP-1 TPM,SP-2 TPM,SP-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SP-1 Normalised Read Counts,SP-2 Normalised Read Counts,SP-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
CTD-2213F21.1,0.36,0,0,0,0,0,2.046116389,0,0,0,0,0,69.20387964,Down,1
LINC01119,1.98,1.67,0.86,2,1.41,1.48,28.64562945,26.55553744,13.0045335,29.05418762,21.10652101,22.5180621,1.065553227,Up,0.980900648
RP11-771F20.1,0,0,0,0,0.14,0,0,0,0,0,1.172584501,0,40.08615002,Up,1
NPM1P29,0.34,0.31,0,0,0,0.18,3.069174584,2.845236154,0,0,0,1.6680046,3.50082134,Down,0.962875038
RP11-492E3.51,0,0.33,0,0,0.42,1.12,0,0.948412051,0,0,1.172584501,3.336009199,4.638734461,Up,0.824189557
ALKBH6,8.53,10.3,9.99,10.62,11.76,8.73,112.5364014,120.960473,125.0435913,132.8191434,117.2584501,106.7522944,1.004793416,Down,1
ASB14,0.1,0,0.02,0,0.03,0.02,1.023058195,0,1.000348731,0,1.172584501,0.8340023,1.008258978,Down,1
PCDHA13,0.04,0.07,0.03,0.03,0,0.06,2.608798396,5.671504067,2.530882289,2.646006372,0,4.411872166,1.529538732,Down,1
TMED10P2,0,0.3,0,0,0.38,0,0,1.896824103,0,0,2.345169001,0,1.232685951,Up,0.900307105
LL0XNC01-237H1.2,2.93,3.23,3.95,2.27,4.84,4.17,40.92232779,45.52377847,55.01918019,32.16713629,66.83731653,54.21014949,1.0830368,Up,0.978073138
AP001469.9,0,0.03,0.07,0,0.16,0,0,0.948412051,2.000697461,0,2.356894846,0,1.248110916,Down,0.990031444
RN7SL535P,0,0,1.21,0,0.72,0.93,0,0,2.000697461,0,1.172584501,1.6680046,1.413597621,Up,1
KCNMB3P1,0.06,0.34,0.6,0,0,0,0.102305819,0.625951954,1.070373142,0,0,0,60.95436384,Down,1
RP11-260O18.1,0,0.07,0.18,0.21,0.49,0.16,0,1.896824103,3.001046192,1.037649558,2.345169001,1.6680046,1.03103833,Up,1
ST3GAL6-AS1,0.21,0.19,0.62,0.43,0.28,0.61,1.023058195,0.948412051,3.001046192,2.075299116,2.345169001,3.336009199,1.55651209,Up,1
RP11-561O4.1,0.04,0.04,0,0,0,0.04,1.023058195,0.948412051,0,0,0,0.8340023,2.316510322,Down,1
AC007405.6,0,1.13,0.58,0.3,0.34,0.89,0,6.63888436,4.001394923,2.075299116,2.345169001,5.838016099,1.037108971,Down,0.93839222
RP11-16F15.2,0.22,0.25,0,0,0.32,0,0.941213539,1.090673859,0,0,1.360198021,0,1.483160936,Down,1
KLHL41,8.3,6.05,5.49,7.59,8.19,9.14,281.4944623,206.7443431,185.2845919,261.4461826,273.9040135,309.7401141,1.254719097,Up,0.920113914
PLCH1-AS1,0,0,0,0,0,0.05,0,0,0,0,0,0.8340023,28.80007666,Up,1
RPL9P5,0,0,0,0.51,0,0,0,0,0,2.075299116,0,0,70.17663719,Up,1
GATS,5.56,4.58,5.31,5.95,4.42,4.54,132.02566,155.0748545,147.1112843,168.0992284,141.9413538,148.8944306,1.05693421,Up,1
MYLK-AS1,0.37,0.64,0.24,0,0.43,0.29,2.046116389,3.793648206,2.000697461,0,2.345169001,2.5020069,1.613733484,Down,1
HOXB-AS2,0,0.1,0,0,0,0.08,0,0.948412051,0,0,0,0.8340023,1.132418341,Down,1
RP11-168J18.6,0.13,0.18,0.07,0.2,0.08,0.25,2.046116389,2.845236154,1.000348731,3.123325169,1.172584501,3.936490855,1.395274794,Up,1
RPL37P2,0.68,0.61,0.65,0.71,1.54,1.98,1.023058195,0.957896172,1.000348731,1.037649558,2.345169001,3.327669176,2.238395644,Up,1
KMT2E-AS1,0.64,0.82,0.37,0.51,0.3,0.2,5.115290973,6.63888436,3.001046192,4.150598231,2.345169001,1.6680046,1.804446332,Down,1
C2orf61,0.3,0.09,0.36,0,0,0.05,3.069174584,0.948412051,2.000697461,0,0,1.092543013,5.388019905,Down,1
RUVBL1-AS1,0,0,0,0.18,0,0,0,0,0,1.037649558,0,0,35.58831859,Up,1
RP11-302B13.1,0.85,0.8,4.14,0.49,6.08,1.88,2.557645487,2.446903093,12.46434518,1.452709381,18.12815638,5.97979649,1.462416002,Up,0.957854103
RPSAP41,1.3,1.82,1.52,1.24,0.77,0.82,12.85984151,18.20951139,15.03524142,12.37915922,7.504540804,8.248282745,1.638187009,Down,1
RP4-728D4.2,0,0,0.1,0.42,0,1.02,0,0,1.000348731,4.150598231,0,5.838016099,9.723517903,Up,0.425625709
